TotalComp,WideIndustry,Company,CEO,CityofBirth,StateofBirth,Age,Undergrad,UGDegree,Ugdate,Age ofUnder,Graduate,GradDegree,MBA,MasterPHd,G_date,AgeofGradu,YearsFirm,YearsCEO,Salary,Bonus,Other,StGains,Compfor5Yrs,StockOwned,Sales,Profits,ReturnOver5Yrs,Industry,,
860270,ComputersComm,AMP,Mr. William J Hudson Jr,Chicago,IL,60,Cornell,BS,57,23,,none,0,0,,,32,1,533333,196747,113546,16644,,0.012,3451,296.7,10,Computerscommunications-peripherals,16,533.333
572741,ComputersComm,Molex,Mr. Frederick A Krehbiel,Hinsdale,IL,52,Lake Forest C,BA,63,21,,none,0,0,,,29,6,350444,50000,94537,77760,2686170,11.875,900,82.6,22,Computerscommunications-peripherals,16,350.444
290903,ComputersComm,Wellfleet Communicat,Mr. Paul J Severino,Paterson,NJ,47,Rensselaer,BSE,69,22,,none,0,0,,,8,8,134808,156095,,,698584,3.691,267,42.2,99,Computerscommunications-peripherals,16,134.808
620458,ComputersComm,Conner Peripherals,Mr. Finis F Conner,Gadsden,AL,50,San Jose State,BS,69,25,,none,0,0,,,9,9,615632,,4826,,5422750,2.662,2152,-445.3,17,Computerscommunications-peripherals,16,615.632
12702700,ComputersComm,Advanced Micro Devic,Mr. Walter J Sanders III,Chicago,IL,57,U of Illinois,BSE,58,21,,none,0,0,,,25,25,929000,2.08E+06,1415880,8.28E+06,41334500,0.385,1648,228.8,30,Computerscommunications-peripherals,16,929
52000,ComputersComm,Cabletron Systems,Mr. S RobertLevine,Worcester,MA,36,U of Miami,BS,80,22,,none,0,0,,,11,11,52000,,,,208000,20.238,553,110.1,48,Computerscommunications-peripherals,16,52
3631940,ComputersComm,Seagate Technology,Mr. Alan F Shugart,Los Angeles,CA,63,U of Redlands,BS,53,22,,none,0,0,,,15,15,550000,411000,1679690,991250,9677880,0.482,3114,151.3,15,Computerscommunications-peripherals,16,550
814754,ComputersComm,Merisel,Mr. Michael D Pickett,Long Beach,CA,46,USC,BBA,69,21,,none,0,0,,,11,6,487629,282125,45000,,4921880,0.101,3086,30.4,24,Computerscommunications-peripherals,16,487.629
1107840,ComputersComm,Avnet,Mr. LeonMachiz,Brooklyn,NY,69,,,,,,none,0,0,,,42,5,1000000,,107839,,5719580,0.153,2906,70.4,13,Computerscommunications-peripherals,16,1000
8920400,ComputersComm,International Game T,Mr. John J Russell,Oklahoma City,OK,64,,,,,,none,0,0,,,8,1,275000,323750,74294,8.25E+06,,0.161,532,113.9,80,Computerscommunications-peripherals,16,275
2755200,ComputersComm,Lotus Development,Mr. Jim P Manzi,New York,NY,42,Colgate U,BA,73,21,Tufts U,MA,0,1,79,27,11,8,650000,650000,35046,1.42E+06,29016600,2.683,981,55.5,29,Computerscommunications-software,16,650
2756210,ComputersComm,Sybase,Mr. Mark B Hoffman,Windom,MN,47,US Military Aca,BS,69,22,U of Arizona,MBA,1,1,79,32,10,10,303372,425000,1087,2.03E+06,3857120,2.08,427,44.1,86,Computerscommunications-software,16,303.372
3719270,ComputersComm,Computer Associates,Mr. Charles B Wang,China,,49,CUNY Queens,BS,67,22,,none,0,0,,,18,18,1000000,2.70E+06,19271,,12402200,4.141,2055,341.6,13,Computerscommunications-software,16,1000
5739200,ComputersComm,BMC Software,Mr. Max P Watson Jr,New Orleans,LA,48,Louisiana Tech,BBA,68,22,,none,0,0,,,9,4,240000,621075,982500,3.90E+06,11823600,0.698,274,81.2,41,Computerscommunications-software,16,240
,ComputersComm,Novell,Mr. Robert J Frankenberg,Chippewa Falls,WI,47,San Jose State,BS,74,27,,none,0,0,,,1,1,,,,,,0.00001,1174,-33.2,37,Computerscommunications-software,16,
10967200,ComputersComm,Parametric Technolog,Mr. Steven C Walske,Los Alamos,NM,41,Princeton,BA,74,21,Harvard,MBA,1,1,78,25,7,7,250000,400000,4497,1.03E+07,26817900,1.979,184,49.3,62,Computerscommunications-software,16,250
418240,ComputersComm,Microsoft,Mr. William H Gates,Seattle,WA,38,,,,,,none,0,0,,,19,13,266660,151580,,,1447190,27.616,4109,1036,50,Computerscommunications-software,16,266.66
2150430,ComputersComm,Oracle Systems,Mr. Lawrence J Ellison,New York,NY,49,,,,,,none,0,0,,,17,17,1000000,1.15E+06,432,,7484560,22.518,1693,197.8,40,Computerscommunications-software,16,1000
672750,ComputersComm,MFS Communications,Mr. James Q Crowe,Camp Pendleton,CA,44,Rensselaer,BSM,72,22,Pepperdine U,MBA,1,1,82,32,8,3,270250,175000,,227500,,0.00001,141,-15.8,8,Computerscommunications-telecommun,16,270.25
5409690,ComputersComm,Citizens Utilities,Dr. LeonardTow,Brooklyn,NY,66,CUNY Brooklyn,BA,50,22,Columbia,PhD,0,1,60,32,4,4,1003000,485000,3921690,,21969500,1.94,619,125.6,6,Computerscommunications-telecommun,16,1003
2295300,ComputersComm,GTE,Mr. Charles R Lee,Pittsburgh,PA,54,Cornell,BA,62,22,Harvard,MBA,1,1,64,24,11,2,728846,1.02E+06,214167,335488,6362590,0.006,19748,990,12,Computerscommunications-telecommun,16,728.846
5305940,ComputersComm,DSC Communications,Mr. James L Donald,Carthage,TX,62,SMU,BSI,57,25,SMU,MSIE,0,1,65,33,13,13,687682,1.46E+06,3158260,,11804700,0.263,731,81.7,38,Computerscommunications-telecommun,16,687.682
2596990,ComputersComm,Sprint,Mr. William T Esrey,Philadelphia,PA,54,Denison U,BA,61,21,Harvard,MBA,1,1,64,24,14,9,802084,817825,448104,528981,12392800,0.063,11368,468.3,8,Computerscommunications-telecommun,16,802.084
2462800,ComputersComm,Bell Atlantic,Mr. Raymond W Smith,Pittsburgh,PA,56,Carnegie-Mellon,BS,59,21,U of Pittsburgh,MBA,1,1,67,29,35,5,808900,880700,773200,,12752200,0.027,12990,1481.6,12,Computerscommunications-telecommun,16,808.9
1128420,ComputersComm,Ameritech,Mr. Richard C Notebaert,Canada,,46,U of Wisc Madis,BA,69,21,U of Wisc Milwa,MBA,1,1,83,35,25,1,447204,351000,330212,,,0.007,11710,1512.8,14,Computerscommunications-telecommun,16,447.204
1898900,ComputersComm,Nynex,Mr. William C Ferguson,Detroit,MI,63,Albion C,AB,52,21,,none,0,0,,,42,5,773000,562000,255722,308176,8049240,0.017,13408,-272.4,6,Computerscommunications-telecommun,16,773
2339510,ComputersComm,Pacific Telesis Grou,Mr. SamGinn,St Clair,AL,57,Auburn U,BS,59,22,,none,0,0,,,34,6,743542,793200,802765,,10510000,0.005,9244,191,14,Computerscommunications-telecommun,16,743.542
2718320,ComputersComm,US West,Mr. Richard D McCormick,Fort Dodge,IA,53,Iowa State,BSE,61,20,,none,0,0,,,9,3,700000,575000,1098460,344860,9265650,0.034,10294,394.4,11,Computerscommunications-telecommun,16,700
2196910,ComputersComm,MCI Communications,Mr. Bert C Roberts Jr,Kansas City,MO,51,Johns Hopkins U,BS,65,22,,none,0,0,,,22,2,800000,900000,496906,,6587730,0.075,11921,627,11,Computerscommunications-telecommun,16,800
812478,ComputersComm,LDDS Communications,Mr. BernardEbbers,Canada,,52,Mississippi C,BA,67,25,,none,0,0,,,9,9,300000,500000,12478,,2324150,7.292,1145,104.2,100,Computerscommunications-telecommun,16,300
1954400,ComputersComm,BellSouth,Mr. John L Clendenin,El Paso,TX,60,Northwestern U,BA,55,21,,none,0,0,,,39,10,785000,705500,463900,,10421200,0.009,15880,1034.1,12,Computerscommunications-telecommun,16,785
1375580,ComputersComm,Corning,Mr. James R Houghton,Corning,NY,58,Harvard,AB,58,22,Harvard,MBA,1,1,62,26,32,11,672500,481618,221458,,10103000,0.639,4005,-15.2,16,Computerscommunications-telecommun,16,672.5
102308,ComputersComm,McCaw Cellular Commu,Mr. Craig O McCaw,Centralia,WA,44,Stanford U,BA,73,23,,none,0,0,,,28,21,100000,,2308,,52833100,6.705,2195,-227.3,5,Computerscommunications-telecommun,16,100
4436690,ComputersComm,Southwestern Bell,Mr. Edward E Whitacre Jr,Ennis,TX,52,Texas Tech U,BSI,64,22,,none,0,0,,,31,4,762000,1.12E+06,2550690,,13644700,0.035,10690,1435.2,18,Computerscommunications-telecommun,16,762
1791040,ComputersComm,Alltel,Mr. Joe T Ford,Conway,AR,56,U of Arkansas,BS,59,21,,none,0,0,,,35,7,575000,429813,554935,231290,6587030,0.264,2342,262,17,Computerscommunications-telecommun,16,575
698414,ComputersComm,TelephoneData Syst,Mr. LeRoy T Carlson Jr,Chicago,IL,47,Harvard,BA,68,21,Harvard,MBA,1,1,71,24,20,8,316000,56250,15461,310703,1941930,2.032,591,33.9,2,Computerscommunications-telecommun,16,316
604774,ComputersComm,Southern New England,Mr. Daniel J Miglio,Philadelphia,PA,53,U of Penn-Whart,BS,62,21,,none,0,0,,,32,1,400934,180000,23840,,,0.008,1654,-53.9,3,Computerscommunications-telecommun,16,400.934
3983410,ComputersComm,ATT,Mr. Robert E Allen,Joplin,MO,59,Wabash C,BA,57,22,,none,0,0,,,37,6,1032000,1.36E+06,1594710,,16639100,0.01,67156,3974,14,Computerscommunications-telecommun,16,1032
959000,ComputersComm,Nextel Communication,Mr. Brian D McAuley,,,53,,,,,,none,0,0,,,7,7,320000,200000,439000,,2241000,1.042,62,-36.1,57,Computerscommunications-telecommun,16,320
748443,Construction,Foster Wheeler,Mr. Richard J Swift,Indianapolis,IN,49,US Military Aca,BS,66,21,Fairleigh Dicki,MBA,1,1,76,31,20,1,375000,151950,221493,,,0.011,2583,57.7,22,Construction-builders,0,375
10568400,Construction,Centex,Mr. Laurence E Hirsch,New York,NY,48,U of Pennsylvan,BS,68,22,Villanova,JD,0,1,71,25,9,6,464167,330000,24261,9.75E+06,13131700,0.729,2996,78.7,18,Construction-builders,0,464.167
2430100,Construction,Morrison Knudsen,Mr. William J Agee,Boise,ID,56,U of Idaho,BS,60,22,Harvard,MBA,1,1,63,25,6,6,750000,950000,730095,,9576770,0.563,2723,35.8,10,Construction-builders,0,750
4602630,Construction,Fluor,Mr. Leslie G McCraw,Sandy Springs,SC,59,Clemson U,BSC,56,21,,none,0,0,,,19,4,680040,610000,562592,2.75E+06,14994400,0.114,8101,175.1,18,Construction-builders,0,680.04
454497,Construction,Turner Corp,Mr. Alfred T McNeill,Elizabeth,NJ,57,Lehigh U,BS,58,21,,none,0,0,,,36,5,400000,,54497,,2158510,0.509,2768,-6.2,-11,Construction-builders,0,400
2320630,Construction,Pulte,Mr. Robert K Burgess,Canada,,50,Michigan State,BS,66,22,,none,0,0,,,11,1,350000,625000,1500,1.34E+06,,0.018,1633,77.8,20,Construction-builders,0,350
1301790,Construction,Manville,Mr. W ThomasStephens,Crossett,AR,51,U of Arkansas,BS,65,22,U of Arkansas,MS,0,1,66,23,31,8,500000,300000,501788,,7252200,0.288,2276,60.8,6,Construction-materials,0,500
2589510,Construction,USG,Mr. Eugene B Connolly,New York,NY,62,Hofstra U,BS,54,22,Hofstra U,MBA,1,1,64,32,36,4,612500,717624,1259380,,4459970,0.016,1916,,-37,Construction-materials,0,612.5
1074640,Construction,Vulcan Materials,Mr. Herbert A Sklenar,Omaha,NE,62,U of Nebraska O,BS,52,20,Harvard,MBA,1,1,54,22,22,8,535004,225000,314634,,5174880,0.301,1133,88.2,5,Construction-materials,0,535.004
1501790,Construction,Owens-Corning Fiberg,Mr. Glen H Hiner,Morgantown,WV,59,West Virginia U,BSE,57,22,,none,0,0,,,2,2,770000,700000,31794,,,0.486,2944,105,4,Construction-materials,0,770
6912640,Construction,Masco,Mr. Richard A Manoogian,Long Branch,NJ,57,Yale,BA,58,21,,none,0,0,,,36,26,908000,294000,4402270,1.31E+06,39338400,0.645,3886,221.1,7,Construction-materials,0,908
2331120,Consumer,Sunbeam-Oster,Mr. RogerSchipke,St. Louis,MO,57,Washington U,BS,58,21,NYU,MBA,1,1,61,24,1,1,1000000,209589,1121530,,,0.225,1066,88.8,29,Consumer durables-appliances,18,1000
884486,Consumer,Maytag,Mr. Leonard A Hadley,Earlham,IA,59,U of Iowa,BS,58,23,,none,0,0,,,35,2,527675,350000,6811,,2060730,0.099,2987,51.3,3,Consumer durables-appliances,18,527.675
11853200,Consumer,Whirlpool,Mr. David R Whitwam,Stanley,WI,52,U of Wisc Madis,BS,67,25,,none,0,0,,,26,7,800000,1.30E+06,3497530,6.26E+06,18494700,0.233,7533,231,20,Consumer durables-appliances,18,800
1653000,Consumer,BlackDecker,Mr. Nolan D Archibald,Ogden,UT,50,Weber State,BS,68,24,Harvard,MBA,1,1,70,26,9,8,825000,650000,177996,,8449250,0.032,4882,95.2,4,Consumer durables-appliances,18,825
1440930,Consumer,General Motors,Mr. John F Smith Jr,Worcester,MA,56,U of Massachuse,BBA,60,22,Boston U,MBA,1,1,65,27,33,2,1375000,,20624,45305,,0.007,138220,2465.8,10,Consumer durables-automobilestrucks,18,1375
3701460,Consumer,Ford Motor,Mr. Alexander J Trotman,England,,60,Michigan State,MBA,72,38,,none,0,0,,,39,1,716667,1.00E+06,136042,1.85E+06,,0.008,108521,2529,10,Consumer durables-automobilestrucks,18,716.667
456102,Consumer,Navistar Internation,Mr. James C Cotting,Winchester,MA,60,Ohio State U,BA,55,21,,none,0,0,,,15,7,450000,,6102,,2405690,0.074,4797,-258.9,-18,Consumer durables-automobilestrucks,18,450
1174550,Consumer,Paccar,Mr. Charles M Pigott,Seattle,WA,65,Stanford U,BS,51,22,,none,0,0,,,38,26,750000,,424551,,7317460,4.3,3542,142.2,7,Consumer durables-automobilestrucks,18,750
9259790,Consumer,Chrysler,Mr. Robert J Eaton,Buena Vista,CO,54,U of Kansas,BSM,63,23,,none,0,0,,,2,1,928750,1.90E+06,1952760,4.48E+06,,0.029,43600,2415,21,Consumer durables-automobilestrucks,18,928.75
1533530,Consumer,Johnson Controls,Mr. James H Keyes,La Crosse,WI,53,Marquette U,BS,62,21,Northwestern U,MBA,1,1,63,22,28,6,606246,523438,208850,195000,5965710,0.155,6255,143.3,13,Consumer durables-automotive parts,18,606.246
3251450,Consumer,Cummins Engine,Mr. Henry B Schacht,Erie,PA,59,Yale,BS,56,21,Harvard,MBA,1,1,62,27,30,25,600000,450000,1630090,571359,10467000,0.219,4248,182.6,11,Consumer durables-automotive parts,18,600
858189,Consumer,Snap-on,Mr. Robert A Cornog,Philadelphia,PA,54,Illinois Tech,BS,61,21,U of Chicago,MBA,1,1,66,26,3,3,416583,386880,2335,52391,1808220,0.04,1132,85.8,5,Consumer durables-automotive parts,18,416.583
1343440,Consumer,Dana,Mr. Southwood J Morcott,Covington,GA,56,Davidson C,BA,60,22,U of Michigan,MBA,1,1,63,25,31,5,761898,412500,85668,83375,5408340,0.112,5588,128.5,13,Consumer durables-automotive parts,18,761.898
3884360,Consumer,TRW,Mr. Joseph T Gorman,Rising Sun,IN,56,Kent State U,BA,60,22,Yale,LLB,0,1,62,24,26,5,896667,661000,2326700,,10651900,0.09,7948,220,13,Consumer durables-automotive parts,18,896.667
11282200,Consumer,Goodyear TireRubbe,Mr. Stanley C Gault,Wooster,OH,68,Col of Wooster,BA,48,22,,none,0,0,,,3,3,935000,1.02E+06,36057,9.29E+06,13938800,0.068,11643,488.7,14,Consumer durables-automotive parts,18,935
401124,Consumer,Bandag,Mr. Martin G Carver,Davenport,IA,46,U of Iowa,BA,70,22,Indiana U,MBA,1,1,72,24,15,12,299036,,102088,,1750570,3.784,591,78.1,9,Consumer durables-automotive parts,18,299.036
1669870,Consumer,Eaton,Mr. William E Butler,Waterloo,IL,63,U of Illinois,BS,56,25,,none,0,0,,,37,3,633925,634623,401317,,3768400,0.047,4401,180,19,Consumer durables-automotive parts,18,633.925
1104470,Consumer,Cooper TireRubber,Mr. Ivan W Gorr,Toledo,OH,64,U of Toledo,BS,51,21,,none,0,0,,,22,5,389780,427086,49024,238578,3781580,0.642,1194,102.2,33,Consumer durables-automotive parts,18,389.78
1826820,Consumer,Echlin,Mr. Frederick J Mancheski,Stevens Point,WI,67,U of Wisc Madis,BS,48,21,,none,0,0,,,31,25,550000,435000,546819,294999,4859830,0.916,2037,104,18,Consumer durables-automotive parts,18,550
659725,Consumer,Arvin Industries,Mr. Byron O Pond,Royal Oak,MI,58,Wayne State U,BSB,61,25,,none,0,0,,,26,1,438269,112347,13301,95808,,0.036,1939,40.3,9,Consumer durables-automotive parts,18,438.269
935450,Consumer,Genuine Parts,Mr. Larry L Prince,Dyersburg,TN,55,,,,,,none,0,0,,,36,4,405000,461700,1799,66951,3771220,0.05,4384,258.9,11,Consumer durables-automotive parts,18,405
1753300,Consumer,Varity,Mr. Victor A Rice,England,,53,,,,,,none,0,0,,,24,14,665000,903000,185295,,5129490,0.537,2726,76.3,9,Consumer durables-automotive parts,18,665
9111170,Consumer,Premark Internationa,Mr. Warren L Batts,Norfolk,VA,61,Georgia Tech,BEE,61,28,Harvard,MBA,1,1,63,30,14,8,683333,910000,591272,6.93E+06,17672600,0.927,3097,172.5,20,Consumer durables-home furnishings,18,683.333
983210,Consumer,Newell Co,Mr. William P Sovey,Helen,GA,60,Georgia Tech,BS,55,21,,none,0,0,,,8,2,550000,415800,17410,,,0.218,1645,165.3,20,Consumer durables-home furnishings,18,550
1772790,Consumer,Rubbermaid,Mr. Wolfgang R Schmitt,Germany,,50,Otterbein C,BA,66,22,,none,0,0,,,28,2,363746,600211,808835,,,0.087,1960,211.4,15,Consumer durables-home furnishings,18,363.746
2515240,Consumer,LeggettPlatt,Mr. Harry M Cornell Jr,Dutch East Indi,,65,U of Missouri,BS,50,21,,none,0,0,,,44,34,472731,340864,526470,1.18E+06,6177530,3.094,1527,85.9,31,Consumer durables-home furnishings,18,472.731
555746,Consumer,Armstrong World Indu,Mr. George A Lorch,Glenridge,NJ,53,Virginia Polyte,BS,63,22,,none,0,0,,,31,1,373700,133648,13573,34825,,0.035,2525,63.5,13,Consumer durables-home furnishings,18,373.7
1073930,Consumer,Springs Industries,Mr. Walter Y Elisha,Gary,IN,61,Wabash C,BA,54,21,Harvard,MBA,1,1,65,32,14,13,575004,400000,98921,,4568350,0.512,2023,47.3,1,Consumer durables-home furnishings,18,575.004
1025430,Consumer,Harley-Davidson,Mr. Richard F Teerlink,Chicago,IL,57,Bradley U,BS,61,24,U of Chicago,MBA,1,1,76,39,13,5,425672,546000,53756,,5445770,0.654,1217,18.4,45,Consumer durables-recreation equipment,18,425.672
1551860,Consumer,Brunswick,Mr. Jack F Reichert,West Allis,WI,63,,,,,,none,0,0,,,37,12,717644,700000,134211,,7915400,0.611,2207,42.3,5,Consumer durables-recreation equipment,18,717.644
2379490,Consumer,Fleetwood Enterprise,Mr. John C Crean,Bowden,ND,68,,,,,,none,0,0,,,44,44,111000,1.47E+06,799959,,13119600,17.533,2207,60,10,Consumer durables-recreation equipment,18,111
2378680,Consumer,Colgate-Palmolive,Mr. ReubenMark,Jersey City,NJ,55,Middlebury C,BA,60,21,Harvard,MBA,1,1,63,24,31,10,900833,1.26E+06,93949,119898,32532100,0.33,7141,548.1,22,Consumer nondurables-personal products,18,900.833
1064740,Consumer,Kimberly-Clark,Mr. Wayne R Sanders,Chicago,IL,46,Illinois Tech,BSC,69,21,Marquette U,MBA,1,1,72,24,19,2,677500,380160,7075,,3970150,0.024,6973,510.9,15,Consumer nondurables-personal products,18,677.5
947628,Consumer,James River Corp of,Mr. Robert C Williams,Cincinnati,OH,64,U of Cincinnati,BSM,53,23,Xavier U,MBA,1,1,57,27,35,4,824615,,123013,,4994040,0.671,4650,-0.3,-6,Consumer nondurables-personal products,18,824.615
1130950,Consumer,Clorox,Mr. G CraigSullivan,Huntington,NY,54,Boston C,BS,64,24,,none,0,0,,,23,2,457500,351000,104816,217631,,0.014,1644,204.2,14,Consumer nondurables-personal products,18,457.5
958356,Consumer,Avon Products,Mr. James E Preston,Cleveland,OH,61,Northwestern U,BS,55,22,,none,0,0,,,30,5,610000,311478,36878,,14117700,0.21,4008,239.6,25,Consumer nondurables-personal products,18,610
14176500,Consumer,Duracell Internation,Mr. C RobertKidder,Freeport,NY,49,U of Michigan,BS,66,21,Iowa State,MS,0,1,68,23,17,10,610486,410000,22197,1.31E+07,16388600,0.121,1788,132.2,23,Consumer nondurables-personal products,18,610.486
3618090,Consumer,Service Corp Interna,Mr. Robert L Waltrip,Austin,TX,63,U of Houston,BBA,54,23,,none,0,0,,,32,32,717500,882000,2018590,,17974300,0.746,899,103.1,19,Consumer nondurables-personal products,18,717.5
8378200,Consumer,ProcterGamble,Mr. Edwin L Artzt,New York,NY,64,U of Oregon,BS,51,21,,none,0,0,,,40,4,1137500,625000,301200,6.31E+06,18542200,0.051,30067,571,21,Consumer nondurables-personal products,18,1137.5
,Consumer,Scott Paper,Mr. Albert J Dunlap,Hoboken,NJ,56,US Military Aca,BS,60,22,,none,0,0,,,1,1,,,,,,0.00001,4749,-289.1,3,Consumer nondurables-personal products,18,
3414220,Consumer,Gillette,Mr. Alfred M Zeien,New York,NY,64,Webb Institute,BS,52,22,,none,0,0,,,26,3,908333,675000,157273,1.67E+06,14248200,0.138,5411,426.9,31,Consumer nondurables-personal products,18,908.333
5685500,Consumer,Dial,Mr. John W Teets,Elgin,IL,60,,,,,,none,0,0,,,30,13,1150330,1.17E+06,3361870,,20386900,0.541,3000,142.4,17,Consumer nondurables-personal products,18,1150.33
7154000,Consumer,Eastman Kodak,Mr. George M C Fisher,Anna,IL,53,U of Illinois,BS,62,21,Brown,MS,0,1,64,23,1,1,2000000,154000,5000000,,,0.038,16364,475,9,Consumer nondurables-photographytoys,18,2000
595033,Consumer,Polaroid,Mr. I MacAllisterBooth,Atlanta,GA,62,Cornell,BME,55,23,Cornell,MBA,1,1,58,26,36,8,525507,,69526,,3428480,0.023,2245,67.9,-1,Consumer nondurables-photographytoys,18,525.507
4380070,Consumer,Hasbro,Mr. Alan G Hassenfeld,Providence,RI,45,U of Pennsylvan,BA,70,21,,none,0,0,,,24,5,872807,600000,98282,2.81E+06,12453800,3.667,2747,200,25,Consumer nondurables-photographytoys,18,872.807
2840250,Consumer,Mattel,Mr. John W Amerman,Newark,NJ,62,Dartmouth,BA,53,21,Dartmouth,MBA,1,1,54,22,14,7,828759,825000,1006050,180436,19772300,0.281,2704,135.9,39,Consumer nondurables-photographytoys,18,828.759
4154620,Consumer,Unifi,Mr. William T Kretzer,Pittsburgh,PA,47,NC State U,BA,68,21,,none,0,0,,,23,9,650000,400000,33058,3.07E+06,13729000,0.599,1365,114.9,23,Consumer nondurables-textiles,18,650
1772250,Consumer,Burlington Industrie,Mr. Frank S Greenberg,Chicago,IL,64,U of Chicago,BA,49,19,,none,0,0,,,44,8,650004,1.11E+06,12226,,5279920,0.689,2071,88.7,4,Consumer nondurables-textiles,18,650.004
1697000,Consumer,Shaw Industries,Mr. Robert E Shaw,Cartersville,GA,62,,,,,,none,0,0,,,34,32,892500,800000,4497,,7538070,6.705,2476,117.6,47,Consumer nondurables-textiles,18,892.5
1095890,Consumer,NIKE,Mr. Philip H Knight,Portland,OR,56,U of Oregon,BA,59,21,Stanford U,MBA,1,1,62,24,30,30,750000,300000,45889,,4058830,33.099,3769,306.5,27,Consumer nondurables-textilesapparel,18,750
1204060,Consumer,Liz Claiborne,Mr. Jerome A Chazen,New York,NY,67,U of Wisc Madis,BA,48,21,Columbia,MBA,1,1,50,23,17,5,574100,,629961,,5661610,2.978,2204,125.3,7,Consumer nondurables-textilesapparel,18,574.1
2000000,Consumer,Fruit of the Loom,Mr. William Farley,Pawtucket,RI,51,Bowdoin C,AB,64,21,Boston C,JD,0,1,69,26,18,9,850000,1.15E+06,,,13920700,9.247,1884,212.8,27,Consumer nondurables-textilesapparel,18,850
2160230,Consumer,VF,Mr. Lawrence R Pugh,White Plains,NY,61,Colby C,BBA,56,23,,none,0,0,,,14,12,735000,400000,131166,894062,10784200,0.038,4320,246.4,12,Consumer nondurables-textilesapparel,18,735
1880830,Consumer,Reebok International,Mr. Paul B Fireman,Cambridge,MA,50,,,,,,none,0,0,,,15,15,1000010,650000,230813,,35525100,14.833,2894,223.4,21,Consumer nondurables-textilesapparel,18,1000.01
314382,Utility,Union Electric,Mr. Charles W Mueller,Belleville,IL,55,St Louis U,BSE,61,22,St Louis U,MBA,1,1,66,27,33,1,237000,55000,22382,,,0.004,2066,297.2,15,Electric utilities-north central,19,237
795000,Utility,DPL,Mr. Peter H Forster,Germany,,51,U of Wisc Madis,BS,64,21,Brooklyn Law Sc,JD,0,1,72,29,21,9,496000,298000,1000,,4084400,0.02,1151,139,21,Electric utilities-north central,19,496
1012000,Utility,DQE,Mr. Wesley W von Schack,New York,NY,50,Fordham U,AB,65,21,Pace U NY,PhD,0,1,90,46,10,8,440000,,,572000,2948380,0.043,1196,141.4,18,Electric utilities-north central,19,440
713398,Utility,Cincinnati GasElec,Mr. Jackson H Randolph,Cincinnati,OH,63,U of Cincinnati,BBA,58,27,U of Cincinnati,MBA,1,1,68,37,35,8,425000,200000,88398,,2693200,0.025,1752,-8.7,16,Electric utilities-north central,19,425
587170,Utility,Wisconsin Energy,Mr. Richard A Abdoo,Port Huron,MI,50,U of Dayton,BSE,65,21,U of Detroit,MA,0,1,69,25,19,3,450000,122000,15170,,1899320,0.011,1644,188.5,14,Electric utilities-north central,19,450
444847,Utility,Cipsco,Mr. Clifford L Greenwalt,Solano,NM,61,U of Missouri,BSC,60,27,U of Illinois,MBA,1,1,77,44,31,5,339093,99902,5852,,1338020,0.029,845,85.5,14,Electric utilities-north central,19,339.093
514901,Utility,Kansas City PowerL,Mr. Drue A Jennings,Topeka,KS,47,U of Kansas,BS,68,21,U of Kansas,JD,0,1,72,25,20,6,375000,113750,26151,,2073780,0.026,857,105.8,15,Electric utilities-north central,19,375
919318,Utility,PSI Resources,Mr. James E Rogers,Birmingham,AL,46,U of Kentucky,BBA,70,22,U of Kentucky,JD,0,1,74,26,6,6,402408,239324,277586,,3511440,0.04,1088,96.4,18,Electric utilities-north central,19,402.408
964239,Utility,Commonwealth Edison,Mr. James J O'Connor,Chicago,IL,57,Col of the Holy,BS,58,21,Georgetown U,LLB,0,1,63,26,31,14,668126,215137,80976,,3665630,0.008,5260,102.7,2,Electric utilities-north central,19,668.126
391101,Utility,Centerior Energy,Mr. Robert J Farling,Warren,OH,58,Case Western,BSE,58,22,Case Western,MBA,1,1,65,29,35,2,361306,,13250,16545,1075860,0.012,2474,-942.6,1,Electric utilities-north central,19,361.306
617954,Utility,Nipsco Industries,Mr. Gary L Neale,Lead,SD,54,U of Washington,BA,62,22,U of Washington,MBA,1,1,65,25,5,1,400000,206000,11954,,,0.05,1678,156.1,24,Electric utilities-north central,19,400
659789,Utility,CMS Energy,Mr. William T McCormick J,Washington,DC,49,Cornell,BS,66,21,MIT,PhD,0,1,69,24,9,9,625000,,34789,,4962850,0.131,3482,155,,Electric utilities-north central,19,625
770956,Utility,Ipalco Enterprises,Mr. John R Hodowal,Dayton,OH,49,Purdue U,BSI,66,21,Indiana U,JD,0,1,70,25,26,5,424459,209672,136825,,3661230,0.042,664,75.4,15,Electric utilities-north central,19,424.459
476785,Utility,Illinois Power,Mr. Larry D Haab,Fairbury,IL,56,Millikin U,BS,59,21,,none,0,0,,,29,3,437500,22531,16754,,1604830,0.012,1581,-55.8,10,Electric utilities-north central,19,437.5
566357,Utility,Ohio Edison,Mr. Willard R Holland,Springfield,TN,58,Rose-Hulman Tec,BS,65,29,Rose-Hulman Tec,MS,0,1,66,30,3,1,381416,158794,26147,,,0.002,2370,24.5,7,Electric utilities-north central,19,381.416
580470,Utility,Western Resources,Mr. John E Hayes Jr,Kansas City,MO,56,Rockhurst C,BS,59,21,,none,0,0,,,5,5,416666,85000,78804,,1871840,0.024,1909,177.4,13,Electric utilities-north central,19,416.666
